번호,분류,문제번호,Tier,문제 제목,문제 URL,제출 횟수,정답률,,,,,,,,,,,,,,,,,
146,다이나믹 프로그래밍,3012,,올바른 괄호 문자열,https://www.acmicpc.net/problem/3012,3990,21,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/3012
147,다이나믹 프로그래밍,2616,,소형기관차,https://www.acmicpc.net/problem/2616,8876,46,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2616
148,다이나믹 프로그래밍,1413,,박스 안의 열쇠,https://www.acmicpc.net/problem/1413,1429,46,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1413
149,다이나믹 프로그래밍,10564,,팔굽혀펴기,https://www.acmicpc.net/problem/10564,1672,30,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/10564
150,다이나믹 프로그래밍,1970,,건배,https://www.acmicpc.net/problem/1970,1051,40,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1970
151,다이나믹 프로그래밍,2163,,초콜릿 자르기,https://www.acmicpc.net/problem/2163,46298,71,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2163
152,다이나믹 프로그래밍,12872,,플레이리스트,https://www.acmicpc.net/problem/12872,1470,48,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/12872
153,시뮬레이션과 구현,1913,,달팽이,https://www.acmicpc.net/problem/1913,21636,44,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1913
154,시뮬레이션과 구현,1952,,달팽이2,https://www.acmicpc.net/problem/1952,6171,53,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1952
155,시뮬레이션과 구현,1959,,달팽이3,https://www.acmicpc.net/problem/1959,2220,26,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1959
156,시뮬레이션과 구현,4577,,소코반,https://www.acmicpc.net/problem/4577,2393,28,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/4577
157,시뮬레이션과 구현,2064,,IP 주소,https://www.acmicpc.net/problem/2064,2342,32,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2064
158,시뮬레이션과 구현,3107,,IPv6,https://www.acmicpc.net/problem/3107,5414,36,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/3107
159,시뮬레이션과 구현,2571,,색종이 - 3,https://www.acmicpc.net/problem/2571,2629,52,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/2571
160,시뮬레이션과 구현,1089,,스타트링크 타워,https://www.acmicpc.net/problem/1089,3822,28,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/1089
161,시뮬레이션과 구현,20056,,마법사 상어와 파이어볼,https://www.acmicpc.net/problem/20056,25019,36,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/20056
162,시뮬레이션과 구현,20057,,마법사 상어와 토네이도,https://www.acmicpc.net/problem/20057,11978,71,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/20057
163,시뮬레이션과 구현,20058,,마법사 상어와 파이어스톰,https://www.acmicpc.net/problem/20058,16499,41,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/20058
164,시뮬레이션과 구현,5373,,큐빙,https://www.acmicpc.net/problem/5373,15822,38,,,,,,,,,,,,,,,,,https://www.acmicpc.nethttps://www.acmicpc.net/problem/5373
